"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","mix","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction"
"18",128,"flat5","consistency:weakwrite","weak","strong","0ms","Uniform
(5ms)","default",6.32676902926,5.317435,18.201342,21.887971,6459.42819985,5.44160821368,5.338862,1612.21663973,6.149736866144,0
"19",512,"slowpoke_flat","consistency:weakwrite","weak","strong","0ms","Slow replica","default",12.2192639209,10.607105,14.676854,36.7018,6246.79916,11.7983107278,10.632779,1553.26472493,12.13507328228,0
"20",2048,"amazon","consistency:weakwrite","weak","strong","0ms","Geo-
distributed","default",6.09312575882,1.503132,2.161496,153.330336,6216.34233795,8.45243247675,1.518017,1556.14325626,6.564987102406,0
"21",4096,"fast","latency:50ms","latency: 50ms","strong","0ms","Local","default",2.05383920406,0.643486,0.989658,49.678966,3235.24256153,0.701925864742,0.700102,806.77359956,1.7834565361964,0.968580693238807
"22",128,"flat5","latency:50ms","latency: 50ms","strong","0ms","Uniform
(5ms)","default",24.0541833673,21.986841,38.687885,47.332616,3162.49004821,21.0642849213,20.92504,784.010537674,23.4562036781,0.994327657559349
"23",512,"slowpoke_flat","latency:50ms","latency: 50ms","strong","0ms","Slow replica","default",37.3049029114,35.229529,49.707263,50.018179,3165.3153366,36.8281788817,35.018487,788.634813877,37.20955810546,0.836215578802464
"24",2048,"amazon","latency:50ms","latency: 50ms","strong","0ms","Geo-
distributed","default",10.9298177771,1.497044,19.252645,293.678292,3147.07070846,126.576717361,117.284591,783.129397382,34.05919769388,0
"25",4096,"fast","latency:20ms","latency: 20ms","strong","0ms","Local","default",1.20531538449,0.633016,0.904262,19.713724,3227.71014257,0.69524252574,0.687321,807.868661973,1.10330081274,0.971605119162503
"26",128,"flat5","latency:20ms","latency: 20ms","strong","0ms","Uniform
(5ms)","default",19.2118650002,19.426097,19.53455,19.783756,3241.82796551,20.9183204187,20.608346,808.355379125,19.5531560839,0.21375057745998
"27",512,"slowpoke_flat","latency:20ms","latency: 20ms","strong","0ms","Slow replica","default",11.4090942792,10.684527,11.78141,12.597965,3160.99855179,47.5997023701,46.237506,783.879777752,18.64721589738,0
"28",2048,"amazon","latency:20ms","latency: 20ms","strong","0ms","Geo-
distributed","default",12.3887694124,1.531429,29.757808,313.349705,3129.38832024,133.364874531,117.559369,778.620600292,36.58399043612,0
"29",4096,"fast","latency:10ms","latency: 10ms","strong","0ms","Local","default",0.930010665162,0.622531,0.85493,9.674894,3231.65185285,0.68805270558,0.683549,805.245281931,0.8816190732456,0.968102548063099
"30",128,"flat5","latency:10ms","latency: 10ms","strong","0ms","Uniform
(5ms)","default",5.45010969508,5.384429,5.511153,5.607283,3243.19986588,23.8972934039,23.795858,806.147991495,9.139546436844,0
